id,client_id,transaction,amount,date,status
T00000049,CUS000297,Withdrawal,3773.94,2025-06-07,Completed
T00000050,CUS000130,Deposit,7951.05,2025-07-29,Pending
T00000051,CUS000413,Deposit,6748.90,2025-05-29,Completed
T00000052,CUS000175,Deposit,7311.19,2025-09-23,Completed
T00000053,CUS000310,Deposit,1813.82,2025-09-23,Pending
T00000054,CUS000672,Withdrawal,4178.03,2025-09-01,Failed
T00000055,CUS000808,Deposit,2254.42,2025-07-24,Completed
T00000056,CUS000357,Deposit,1512.00,2025-07-22,Completed
T00000057,CUS000257,Withdrawal,890.98,2025-08-20,Completed
T00000058,CUS000758,Withdrawal,2112.03,2025-06-25,Pending
T00000059,CUS000709,Deposit,312.43,2025-07-23,Pending
T00000060,CUS000053,Withdrawal,458.22,2025-06-13,Completed
T00000061,CUS000699,Deposit,6097.80,2025-09-17,Completed
T00000062,CUS000148,Withdrawal,110.96,2025-09-16,Failed
T00000063,CUS000475,Withdrawal,2547.76,2025-06-01,Completed
T00000064,CUS000643,Deposit,2047.98,2025-05-31,Completed
T00000065,CUS000907,Withdrawal,3873.12,2025-06-26,Completed
T00000066,CUS000817,Deposit,2145.46,2025-08-30,Pending
T00000067,CUS000134,Withdrawal,1951.98,2025-09-22,Completed
T00000068,CUS000423,Withdrawal,7802.51,2025-07-22,Completed
T00000069,CUS000913,Withdrawal,1671.01,2025-06-28,Completed
T00000070,CUS000511,Withdrawal,4121.73,2025-09-22,Failed
T00000071,CUS000211,Withdrawal,6400.47,2025-06-24,Completed
T00000072,CUS000519,Deposit,2262.12,2025-08-27,Pending
T00000073,CUS000145,Deposit,6911.87,2025-05-31,Pending
T00000074,CUS000319,Deposit,251.62,2025-09-05,Pending
T00000075,CUS000445,Deposit,9996.70,2025-09-13,Completed
T00000076,CUS000542,Withdrawal,2665.66,2025-08-31,Pending
T00000077,CUS000430,Deposit,4624.16,2025-08-22,Pending
T00000078,CUS000236,Withdrawal,1758.37,2025-08-19,Pending
T00000079,CUS000475,Withdrawal,8729.46,2025-09-05,Completed
T00000080,CUS000848,Deposit,5493.11,2025-07-07,Completed
T00000081,CUS000650,Deposit,5743.97,2025-07-17,Pending
T00000082,CUS000439,Deposit,8438.96,2025-09-04,Completed
T00000083,CUS000192,Deposit,2799.11,2025-06-07,Completed
T00000084,CUS000269,Withdrawal,5834.30,2025-07-23,Completed
T00000085,CUS000634,Withdrawal,2235.77,2025-05-27,Completed
T00000086,CUS000663,Withdrawal,9391.79,2025-09-10,Failed
T00000087,CUS000557,Withdrawal,4420.66,2025-07-27,Completed
T00000088,CUS000245,Withdrawal,3664.20,2025-09-11,Completed
T00000089,CUS000824,Deposit,4251.03,2025-08-04,Completed
T00000090,CUS000744,Deposit,1301.06,2025-06-23,Pending
T00000091,CUS000465,Withdrawal,4380.44,2025-08-22,Completed
T00000092,CUS000135,Deposit,2078.21,2025-06-12,Completed
T00000093,CUS000753,Withdrawal,599.02,2025-08-20,Failed
T00000094,CUS000520,Deposit,299.82,2025-06-26,Pending
T00000095,CUS000726,Deposit,785.34,2025-09-02,Completed
T00000096,CUS000071,Withdrawal,9417.97,2025-06-30,Completed
T00000097,CUS000613,Withdrawal,61.26,2025-06-02,Completed
T00000098,CUS000913,Deposit,5311.03,2025-08-06,Completed
T00000099,CUS000819,Deposit,9712.54,2025-05-27,Pending
T00000100,CUS000415,Withdrawal,9960.63,2025-06-02,Completed
T00000101,CUS000900,Deposit,1481.76,2025-07-10,Completed
T00000102,CUS000545,Deposit,8541.80,2025-09-23,Completed
T00000103,CUS000135,Deposit,9765.05,2025-06-13,Failed
T00000104,CUS000202,Withdrawal,6851.87,2025-06-02,Failed
T00000105,CUS000949,Withdrawal,8022.49,2025-07-12,Completed
T00000106,CUS000082,Deposit,151.70,2025-07-31,Completed
T00000107,CUS000819,Deposit,6029.93,2025-09-12,Completed
T00000108,CUS000201,Deposit,6825.79,2025-07-01,Completed
T00000109,CUS000881,Withdrawal,1766.13,2025-07-09,Completed
T00000110,CUS000823,Deposit,2440.01,2025-09-03,Completed
T00000111,CUS000920,Withdrawal,6259.46,2025-07-10,Completed
T00000112,CUS000538,Withdrawal,6746.29,2025-09-02,Failed
T00000113,CUS000536,Deposit,1812.55,2025-06-17,Completed
T00000114,CUS000538,Withdrawal,5454.51,2025-05-28,Completed
T00000115,CUS000927,Deposit,6869.30,2025-06-06,Failed
T00000116,CUS000454,Withdrawal,1084.75,2025-07-16,Completed
T00000117,CUS000817,Withdrawal,7793.94,2025-07-27,Completed
T00000118,CUS000275,Deposit,3881.47,2025-07-27,Completed
T00000119,CUS000819,Deposit,4634.50,2025-06-12,Failed
T00000120,CUS000516,Deposit,3926.88,2025-06-14,Pending
T00000121,CUS000388,Deposit,4338.46,2025-08-04,Completed
T00000122,CUS000953,Deposit,5844.23,2025-07-19,Failed
T00000123,CUS000807,Deposit,792.49,2025-05-27,Completed
T00000124,CUS000089,Withdrawal,5017.31,2025-09-19,Completed
T00000125,CUS000627,Deposit,6301.61,2025-07-16,Completed
T00000126,CUS000145,Withdrawal,529.97,2025-06-22,Pending
T00000127,CUS000789,Deposit,414.88,2025-06-06,Completed
T00000128,CUS000140,Withdrawal,9643.88,2025-08-14,Pending
T00000129,CUS000393,Withdrawal,2290.90,2025-06-15,Pending
T00000130,CUS000851,Deposit,3677.30,2025-06-25,Completed
T00000131,CUS000625,Deposit,4949.18,2025-08-02,Completed
T00000132,CUS000575,Deposit,6616.52,2025-07-15,Completed
T00000133,CUS000130,Deposit,7938.32,2025-08-14,Completed
T00000134,CUS000097,Withdrawal,9949.68,2025-09-01,Completed
T00000135,CUS000301,Withdrawal,4330.94,2025-07-27,Completed
T00000136,CUS000268,Withdrawal,7114.25,2025-06-30,Completed
T00000137,CUS000806,Withdrawal,7881.59,2025-08-25,Failed
T00000138,CUS000996,Withdrawal,3497.94,2025-07-08,Completed
T00000139,CUS000579,Deposit,543.77,2025-09-09,Completed
T00000140,CUS000267,Deposit,2479.54,2025-06-18,Completed
T00000141,CUS000923,Deposit,9637.58,2025-06-11,Completed
T00000142,CUS000800,Deposit,1416.47,2025-06-04,Failed
T00000143,CUS000866,Deposit,1309.63,2025-09-16,Completed
T00000144,CUS000196,Deposit,9768.67,2025-07-12,Completed
T00000145,CUS000435,Deposit,6578.35,2025-08-29,Completed
T00000146,CUS000872,Deposit,6915.09,2025-09-05,Failed
T00000147,CUS000007,Withdrawal,1354.06,2025-07-25,Pending
T00000148,CUS000870,Deposit,417.35,2025-08-29,Completed
T00000149,CUS000989,Deposit,8895.69,2025-06-16,Completed
T00000150,CUS000750,Withdrawal,2782.27,2025-06-06,Completed
T00000151,CUS000791,Deposit,6722.23,2025-09-01,Completed
T00000152,CUS000098,Withdrawal,9002.09,2025-09-06,Completed
T00000153,CUS000892,Deposit,5019.44,2025-06-28,Completed
T00000154,CUS000468,Deposit,3276.58,2025-06-19,Completed
T00000155,CUS000841,Withdrawal,5398.44,2025-09-13,Completed
T00000156,CUS000259,Withdrawal,6589.49,2025-06-09,Completed
T00000157,CUS000817,Withdrawal,7861.70,2025-08-03,Completed
T00000158,CUS000741,Withdrawal,4995.36,2025-09-13,Completed
T00000159,CUS000665,Withdrawal,8584.50,2025-07-01,Pending
T00000160,CUS000250,Withdrawal,8686.92,2025-09-10,Completed
T00000161,CUS000487,Deposit,6226.30,2025-06-07,Completed
T00000162,CUS000098,Deposit,7292.97,2025-07-31,Completed
T00000163,CUS000261,Deposit,9174.63,2025-08-26,Completed
T00000164,CUS000942,Withdrawal,1473.34,2025-07-20,Completed
T00000165,CUS000491,Deposit,9860.00,2025-08-15,Failed
T00000166,CUS000512,Deposit,1564.84,2025-07-03,Pending
T00000167,CUS000069,Deposit,668.33,2025-06-24,Failed
T00000168,CUS000136,Deposit,7818.61,2025-06-02,Pending
T00000169,CUS000451,Deposit,5100.86,2025-08-09,Completed
T00000170,CUS000710,Deposit,2327.67,2025-09-15,Failed
T00000171,CUS000030,Withdrawal,6441.43,2025-07-16,Completed
T00000172,CUS000229,Withdrawal,5283.34,2025-09-08,Completed
T00000173,CUS000192,Withdrawal,5725.85,2025-09-15,Completed
T00000174,CUS000627,Withdrawal,195.66,2025-06-10,Failed
T00000175,CUS000925,Deposit,2256.41,2025-08-03,Pending
T00000176,CUS000817,Deposit,603.16,2025-09-06,Completed
T00000177,CUS000104,Deposit,722.47,2025-09-09,Pending
T00000178,CUS000259,Deposit,525.35,2025-05-31,Failed
T00000179,CUS000089,Withdrawal,6348.77,2025-08-27,Completed
T00000180,CUS000171,Withdrawal,8835.41,2025-09-11,Completed
T00000181,CUS000477,Deposit,8142.76,2025-08-08,Completed
T00000182,CUS000682,Deposit,2298.30,2025-08-02,Completed
T00000183,CUS000572,Withdrawal,5920.31,2025-06-03,Completed
T00000184,CUS000407,Withdrawal,692.05,2025-07-27,Completed
T00000185,CUS000604,Withdrawal,3600.85,2025-09-05,Completed
T00000186,CUS000862,Deposit,4749.92,2025-07-31,Completed
T00000187,CUS000185,Deposit,738.41,2025-09-09,Completed
T00000188,CUS000769,Withdrawal,2607.06,2025-06-14,Completed
T00000189,CUS000878,Withdrawal,3323.39,2025-06-20,Completed
T00000190,CUS000692,Deposit,4001.87,2025-08-22,Pending
T00000191,CUS000099,Deposit,972.29,2025-08-22,Pending
T00000192,CUS000825,Deposit,726.01,2025-06-23,Failed
T00000193,CUS000967,Deposit,4745.81,2025-07-15,Completed
T00000194,CUS000558,Deposit,745.41,2025-09-07,Completed
T00000195,CUS000512,Deposit,2585.07,2025-09-17,Completed
T00000196,CUS000269,Withdrawal,4837.85,2025-06-14,Completed
T00000197,CUS000918,Withdrawal,8385.17,2025-08-05,Completed
T00000198,CUS000349,Deposit,3633.18,2025-06-04,Completed
T00000199,CUS000590,Deposit,1018.64,2025-07-20,Completed
T00000200,CUS000797,Withdrawal,7165.65,2025-06-15,Completed
T00000201,CUS000215,Withdrawal,7154.00,2025-08-11,Failed
T00000202,CUS000505,Deposit,9135.54,2025-08-17,Completed
T00000203,CUS000213,Withdrawal,1668.60,2025-06-29,Failed
T00000204,CUS000499,Deposit,6309.09,2025-09-02,Completed
T00000205,CUS000445,Withdrawal,8744.46,2025-06-23,Failed
T00000206,CUS000040,Deposit,9045.21,2025-09-17,Completed
T00000207,CUS000756,Deposit,48.70,2025-07-13,Completed
T00000208,CUS000501,Deposit,6053.21,2025-08-30,Pending
T00000209,CUS000115,Withdrawal,8321.26,2025-09-12,Pending
T00000210,CUS000161,Deposit,606.33,2025-08-11,Completed
T00000211,CUS000314,Withdrawal,9095.48,2025-09-22,Failed
T00000212,CUS000076,Deposit,4503.76,2025-06-24,Completed
T00000213,CUS000184,Deposit,1548.46,2025-05-26,Completed
T00000214,CUS000389,Deposit,8871.22,2025-09-10,Completed
T00000215,CUS000893,Withdrawal,5518.70,2025-07-24,Pending
T00000216,CUS000096,Withdrawal,6446.55,2025-07-21,Completed
T00000217,CUS000340,Withdrawal,5625.81,2025-06-17,Failed
T00000218,CUS000787,Deposit,6724.30,2025-07-13,Completed
T00000219,CUS000442,Deposit,974.53,2025-06-03,Completed
T00000220,CUS000069,Deposit,3684.41,2025-09-05,Pending
T00000221,CUS000314,Withdrawal,4699.43,2025-06-14,Completed
T00000222,CUS000375,Deposit,956.28,2025-09-11,Completed
T00000223,CUS000852,Deposit,2148.10,2025-07-28,Completed
T00000224,CUS000556,Withdrawal,5260.99,2025-09-20,Completed
T00000225,CUS000331,Deposit,7464.68,2025-06-20,Completed
T00000226,CUS000233,Withdrawal,5786.31,2025-07-20,Completed
T00000227,CUS000332,Deposit,9915.02,2025-09-12,Completed
T00000228,CUS000286,Withdrawal,7519.29,2025-07-26,Pending
T00000229,CUS000126,Withdrawal,5533.52,2025-08-07,Completed
T00000230,CUS000062,Deposit,4620.06,2025-06-27,Pending
T00000231,CUS000066,Deposit,5447.64,2025-08-28,Completed
T00000232,CUS000800,Withdrawal,5033.10,2025-07-18,Completed
T00000233,CUS000674,Deposit,6876.23,2025-07-13,Pending
T00000234,CUS000508,Deposit,5800.50,2025-07-03,Completed
T00000235,CUS000905,Withdrawal,5649.82,2025-09-16,Completed
T00000236,CUS000358,Deposit,2819.96,2025-06-16,Completed
T00000237,CUS000701,Deposit,6322.66,2025-08-16,Pending
T00000238,CUS000201,Deposit,7824.02,2025-07-15,Pending
T00000239,CUS000312,Withdrawal,1353.82,2025-09-02,Completed
T00000240,CUS000359,Withdrawal,7887.99,2025-09-06,Pending
T00000241,CUS000986,Deposit,814.36,2025-08-25,Completed
T00000242,CUS000591,Deposit,235.86,2025-07-28,Completed
T00000243,CUS000093,Withdrawal,1670.51,2025-09-07,Completed
T00000244,CUS000173,Deposit,3738.56,2025-09-07,Completed
T00000245,CUS000382,Withdrawal,5878.91,2025-08-11,Completed
T00000246,CUS000158,Deposit,2067.14,2025-08-28,Completed
T00000247,CUS000339,Deposit,2768.57,2025-05-30,Completed
T00000248,CUS000560,Deposit,7212.14,2025-08-25,Pending
T00000249,CUS000599,Deposit,4776.04,2025-06-10,Completed
T00000250,CUS000849,Withdrawal,3004.20,2025-06-21,Completed
T00000251,CUS000957,Deposit,6445.40,2025-07-20,Completed
T00000252,CUS000774,Withdrawal,2392.80,2025-09-17,Completed
T00000253,CUS000140,Deposit,9661.68,2025-08-06,Completed
T00000254,CUS000715,Deposit,5399.19,2025-08-20,Completed
T00000255,CUS000338,Deposit,5124.90,2025-06-27,Completed
T00000256,CUS000377,Withdrawal,1948.41,2025-08-17,Pending
T00000257,CUS000302,Withdrawal,3344.88,2025-07-19,Completed
T00000258,CUS000011,Deposit,9934.86,2025-06-24,Completed
T00000259,CUS000007,Deposit,1688.96,2025-08-06,Completed
T00000260,CUS000610,Deposit,3322.49,2025-08-03,Completed
T00000261,CUS000640,Deposit,2656.75,2025-09-08,Failed
T00000262,CUS000129,Deposit,6825.03,2025-09-18,Completed
T00000263,CUS000688,Withdrawal,8127.69,2025-09-03,Failed
T00000264,CUS000926,Withdrawal,1380.27,2025-08-07,Completed
T00000265,CUS000067,Withdrawal,9686.77,2025-06-03,Failed
T00000266,CUS000246,Withdrawal,4592.77,2025-06-20,Completed
T00000267,CUS000143,Withdrawal,3583.98,2025-09-06,Failed
T00000268,CUS000725,Deposit,9100.73,2025-08-27,Failed
T00000269,CUS000382,Deposit,3720.73,2025-09-04,Completed
T00000270,CUS000118,Withdrawal,4184.74,2025-06-05,Completed
T00000271,CUS000585,Deposit,5269.59,2025-05-31,Completed
T00000272,CUS000994,Withdrawal,5572.70,2025-06-27,Completed
T00000273,CUS000011,Deposit,4244.19,2025-06-10,Failed
T00000274,CUS000449,Withdrawal,6098.56,2025-07-29,Completed
T00000275,CUS000167,Deposit,1645.16,2025-09-17,Pending
T00000276,CUS000739,Withdrawal,7874.28,2025-06-15,Completed
T00000277,CUS000859,Withdrawal,6011.48,2025-06-09,Pending
T00000278,CUS000001,Withdrawal,4023.16,2025-09-10,Pending
T00000279,CUS000163,Withdrawal,5157.35,2025-09-08,Completed
T00000280,CUS000207,Deposit,5280.40,2025-08-19,Pending
T00000281,CUS000297,Withdrawal,8530.63,2025-05-29,Completed
T00000282,CUS000796,Deposit,3248.37,2025-06-09,Completed
T00000283,CUS000698,Withdrawal,6790.03,2025-07-25,Completed
T00000284,CUS000369,Deposit,9591.61,2025-06-10,Completed
T00000285,CUS000927,Deposit,920.51,2025-06-19,Completed
T00000286,CUS000309,Deposit,6349.18,2025-06-19,Completed
T00000287,CUS000158,Withdrawal,6872.46,2025-07-17,Completed
T00000288,CUS000417,Deposit,3656.79,2025-06-19,Failed
T00000289,CUS000333,Withdrawal,3060.41,2025-06-16,Completed
T00000290,CUS000043,Withdrawal,5452.33,2025-06-13,Completed
T00000291,CUS000607,Deposit,3678.58,2025-07-14,Failed
T00000292,CUS000623,Withdrawal,6997.27,2025-07-30,Completed
T00000293,CUS000820,Deposit,806.26,2025-06-19,Completed
T00000294,CUS000788,Withdrawal,3552.28,2025-07-02,Completed
T00000295,CUS000181,Deposit,9368.02,2025-07-02,Completed
T00000296,CUS000918,Deposit,2988.14,2025-08-12,Completed
T00000297,CUS000148,Withdrawal,2171.86,2025-09-22,Completed
T00000298,CUS000406,Deposit,818.74,2025-06-05,Pending
T00000299,CUS000600,Withdrawal,2478.56,2025-06-14,Completed
T00000300,CUS000890,Deposit,1173.59,2025-07-25,Completed
T00000301,CUS000497,Withdrawal,9397.56,2025-08-16,Completed
T00000302,CUS000396,Withdrawal,4430.06,2025-09-21,Failed
T00000303,CUS000821,Deposit,6345.97,2025-08-09,Completed
T00000304,CUS000392,Deposit,4618.69,2025-09-17,Failed
T00000305,CUS000705,Deposit,2601.96,2025-06-11,Pending
T00000306,CUS000364,Deposit,6738.48,2025-07-30,Completed
T00000307,CUS000746,Withdrawal,3068.29,2025-09-20,Pending
T00000308,CUS000904,Withdrawal,5894.45,2025-08-10,Completed
T00000309,CUS000199,Withdrawal,8990.98,2025-07-03,Completed
T00000310,CUS000576,Deposit,7802.77,2025-06-11,Completed
T00000311,CUS000239,Deposit,9824.34,2025-06-14,Completed
T00000312,CUS000483,Deposit,8113.25,2025-07-20,Pending
T00000313,CUS000892,Withdrawal,8063.80,2025-08-10,Completed
T00000314,CUS000038,Deposit,946.68,2025-07-22,Completed
T00000315,CUS000582,Deposit,5233.44,2025-09-10,Completed
T00000316,CUS000945,Deposit,2440.95,2025-08-18,Completed
T00000317,CUS000663,Withdrawal,2736.32,2025-07-13,Completed
T00000318,CUS000198,Withdrawal,3492.51,2025-08-20,Completed
T00000319,CUS000648,Deposit,886.16,2025-09-16,Pending
T00000320,CUS000763,Withdrawal,5975.13,2025-07-05,Completed
T00000321,CUS000856,Withdrawal,4790.49,2025-07-18,Completed
T00000322,CUS000105,Deposit,4700.83,2025-09-16,Completed
T00000323,CUS000227,Deposit,2078.42,2025-09-20,Completed
T00000324,CUS000119,Withdrawal,8306.58,2025-07-30,Completed
T00000325,CUS000285,Withdrawal,6279.10,2025-09-01,Completed
T00000326,CUS000026,Deposit,4683.27,2025-08-13,Completed
T00000327,CUS000548,Deposit,7091.00,2025-08-01,Completed
T00000328,CUS000256,Deposit,3070.06,2025-08-15,Completed
T00000329,CUS000248,Withdrawal,687.35,2025-08-06,Completed
T00000330,CUS000794,Deposit,5144.77,2025-06-22,Pending
T00000331,CUS000590,Withdrawal,1017.67,2025-07-15,Completed
T00000332,CUS000832,Withdrawal,27.90,2025-08-07,Failed
T00000333,CUS000778,Withdrawal,3362.71,2025-09-03,Failed
T00000334,CUS000715,Deposit,4873.75,2025-08-07,Completed
T00000335,CUS000269,Deposit,6016.67,2025-08-08,Completed
T00000336,CUS000617,Withdrawal,7526.52,2025-08-05,Completed
T00000337,CUS000704,Withdrawal,281.51,2025-07-24,Completed
T00000338,CUS000045,Deposit,3670.08,2025-08-01,Completed
T00000339,CUS000092,Withdrawal,244.96,2025-06-05,Completed
T00000340,CUS000631,Withdrawal,100.54,2025-09-15,Completed
T00000341,CUS000868,Deposit,5403.59,2025-06-26,Completed
T00000342,CUS000972,Deposit,8582.08,2025-07-28,Completed
T00000343,CUS000527,Deposit,5877.38,2025-09-04,Completed
T00000344,CUS000747,Withdrawal,4851.70,2025-06-23,Completed
T00000345,CUS000890,Withdrawal,4725.87,2025-06-13,Pending
T00000346,CUS000925,Deposit,6949.21,2025-08-20,Completed
T00000347,CUS000477,Withdrawal,245.27,2025-09-11,Pending
T00000348,CUS000205,Deposit,6690.30,2025-08-11,Completed
T00000349,CUS000905,Deposit,1040.31,2025-06-22,Completed
T00000350,CUS000580,Withdrawal,4661.15,2025-07-06,Completed
T00000351,CUS000761,Withdrawal,7611.63,2025-07-31,Completed
T00000352,CUS000393,Deposit,1263.05,2025-06-30,Pending
T00000353,CUS000776,Deposit,8551.75,2025-07-29,Completed
T00000354,CUS000852,Withdrawal,8295.24,2025-09-19,Completed
T00000355,CUS000501,Deposit,5978.02,2025-09-12,Completed
T00000356,CUS000872,Deposit,6704.59,2025-09-04,Failed
T00000357,CUS000945,Deposit,9632.81,2025-08-29,Completed
T00000358,CUS000716,Withdrawal,4791.29,2025-08-06,Completed
T00000359,CUS000626,Deposit,4950.90,2025-06-25,Completed
T00000360,CUS000269,Withdrawal,8458.95,2025-06-08,Completed
T00000361,CUS000821,Deposit,7315.26,2025-09-21,Completed
T00000362,CUS000952,Withdrawal,3089.50,2025-09-07,Completed
T00000363,CUS000249,Deposit,2998.40,2025-06-02,Completed
T00000364,CUS000718,Deposit,253.72,2025-08-22,Completed
T00000365,CUS000448,Deposit,1550.73,2025-08-02,Completed
T00000366,CUS000283,Deposit,6426.63,2025-08-03,Completed
T00000367,CUS000672,Deposit,7891.69,2025-09-17,Completed
T00000368,CUS000756,Withdrawal,945.20,2025-07-12,Completed
T00000369,CUS000486,Withdrawal,4252.24,2025-07-16,Completed
T00000370,CUS000656,Deposit,38.46,2025-06-17,Completed
T00000371,CUS000443,Deposit,4179.31,2025-07-24,Completed
T00000372,CUS000070,Withdrawal,3694.34,2025-06-25,Completed
T00000373,CUS000934,Withdrawal,4804.00,2025-08-03,Completed
T00000374,CUS000063,Withdrawal,7158.80,2025-05-27,Completed
T00000375,CUS000396,Deposit,3409.32,2025-09-02,Failed
T00000376,CUS000653,Deposit,7420.93,2025-08-08,Failed
T00000377,CUS000144,Withdrawal,4276.81,2025-06-21,Completed
T00000378,CUS000086,Deposit,472.15,2025-07-06,Completed
T00000379,CUS000627,Withdrawal,600.68,2025-07-26,Completed
T00000380,CUS000392,Deposit,8110.39,2025-06-12,Completed
T00000381,CUS000740,Deposit,8752.85,2025-08-21,Completed
T00000382,CUS000268,Deposit,5898.47,2025-08-19,Pending
T00000383,CUS000182,Deposit,9889.01,2025-06-28,Completed
T00000384,CUS000132,Deposit,1536.65,2025-08-13,Failed
T00000385,CUS000367,Deposit,7807.43,2025-07-16,Completed
T00000386,CUS000840,Deposit,7283.36,2025-06-07,Pending
T00000387,CUS000232,Withdrawal,4234.06,2025-07-02,Completed
T00000388,CUS000004,Withdrawal,2296.10,2025-07-26,Pending
T00000389,CUS000825,Deposit,3775.81,2025-06-14,Completed
T00000390,CUS000218,Deposit,6863.54,2025-07-26,Failed
T00000391,CUS000821,Withdrawal,6860.26,2025-07-28,Completed
T00000392,CUS000324,Deposit,6353.16,2025-08-25,Completed
T00000393,CUS000680,Deposit,268.99,2025-07-19,Completed
T00000394,CUS000334,Withdrawal,5252.39,2025-06-26,Completed
T00000395,CUS000547,Deposit,4337.21,2025-07-07,Completed
T00000396,CUS000262,Deposit,7066.58,2025-06-28,Completed
T00000397,CUS000638,Deposit,1384.27,2025-08-28,Completed
T00000398,CUS000880,Deposit,7488.42,2025-09-05,Completed
T00000399,CUS000806,Deposit,2262.46,2025-07-12,Completed
T00000400,CUS000677,Withdrawal,7192.00,2025-08-21,Completed
T00000401,CUS000886,Withdrawal,2233.50,2025-09-20,Pending
T00000402,CUS000927,Deposit,2459.66,2025-05-27,Completed
T00000403,CUS000665,Withdrawal,2829.98,2025-07-30,Completed
T00000404,CUS000046,Withdrawal,1170.25,2025-09-04,Failed
T00000405,CUS000207,Withdrawal,6094.49,2025-08-27,Completed
T00000406,CUS000237,Deposit,4963.63,2025-06-25,Completed
T00000407,CUS000325,Withdrawal,5442.48,2025-08-16,Completed
T00000408,CUS000973,Withdrawal,6493.52,2025-08-01,Completed
T00000409,CUS000967,Deposit,9203.14,2025-06-27,Completed
T00000410,CUS000052,Deposit,5379.05,2025-08-16,Completed
T00000411,CUS000151,Deposit,2813.48,2025-07-05,Completed
T00000412,CUS000658,Withdrawal,4931.31,2025-07-07,Completed
T00000413,CUS000107,Deposit,8731.24,2025-06-23,Completed
T00000414,CUS000287,Deposit,9360.79,2025-07-06,Completed
T00000415,CUS000748,Withdrawal,5594.54,2025-09-01,Completed
T00000416,CUS000271,Deposit,8554.15,2025-07-17,Completed
T00000417,CUS000133,Deposit,6527.36,2025-06-17,Pending
T00000418,CUS000866,Deposit,8931.61,2025-06-13,Completed
T00000419,CUS000216,Withdrawal,2847.68,2025-06-12,Pending
T00000420,CUS000685,Deposit,8932.89,2025-08-11,Completed
T00000421,CUS000229,Deposit,4219.74,2025-09-12,Completed
T00000422,CUS000786,Withdrawal,5285.81,2025-07-29,Completed
T00000423,CUS000143,Withdrawal,9403.06,2025-06-20,Completed
T00000424,CUS000158,Withdrawal,7272.06,2025-08-14,Completed
T00000425,CUS000067,Deposit,239.59,2025-08-20,Failed
T00000426,CUS000054,Withdrawal,872.11,2025-06-16,Completed
